,CA_3,arima_forecast,sarima_forecast,rfr_forecast,knn_forecast
d_1,4739.0,,,,
d_2,4827.0,,,,
d_3,3785.0,,,,
d_4,4232.0,,,,
d_5,3817.0,,,,
d_6,4369.0,,,,
d_7,4703.0,,,,
d_8,5456.0,,,,
d_9,5581.0,,,,
d_10,4912.0,,,,
d_11,4447.0,,,,
d_12,4544.0,,,,
d_13,4406.0,,,,
d_14,4380.0,,,,
d_15,5187.0,,,,
d_16,5780.0,,,,
d_17,3303.0,,,,
d_18,3758.0,,,,
d_19,3641.0,,,,
d_20,3099.0,,,,
d_21,3320.0,,,,
d_22,4694.0,,,,
d_23,4794.0,,,,
d_24,4631.0,,,,
d_25,3593.0,,,,
d_26,3342.0,,,,
d_27,3310.0,,,,
d_28,3575.0,,,,
d_29,4774.0,,,,
d_30,4540.0,,,,
d_31,3604.0,,,,
d_32,3846.0,,,,
d_33,3821.0,,,,
d_34,3757.0,,,,
d_35,3904.0,,,,
d_36,4894.0,,,,
d_37,5895.0,,,,
d_38,4274.0,,,,
d_39,4084.0,,,,
d_40,3754.0,,,,
d_41,3898.0,,,,
d_42,4108.0,,,,
d_43,4823.0,,,,
d_44,5342.0,,,,
d_45,4231.0,,,,
d_46,3624.0,,,,
d_47,3767.0,,,,
d_48,3653.0,,,,
d_49,3562.0,,,,
d_50,5235.0,,,,
d_51,5181.0,,,,
d_52,4154.0,,,,
d_53,3664.0,,,,
d_54,3255.0,,,,
d_55,2814.0,,,,
d_56,4085.0,,,,
d_57,4991.0,,,,
d_58,4850.0,,,,
d_59,3692.0,,,,
d_60,3028.0,,,,
d_61,3518.0,,,,
d_62,3640.0,,,,
d_63,4599.0,,,,
d_64,5265.0,,,,
d_65,5680.0,,,,
d_66,4921.0,,,,
d_67,3936.0,,,,
d_68,4062.0,,,,
d_69,4052.0,,,,
d_70,3918.0,,,,
d_71,4957.0,,,,
d_72,5728.0,,,,
d_73,4123.0,,,,
d_74,3466.0,,,,
d_75,3561.0,,,,
d_76,3616.0,,,,
d_77,4293.0,,,,
d_78,4457.0,,,,
d_79,4819.0,,,,
d_80,3922.0,,,,
d_81,3423.0,,,,
d_82,3306.0,,,,
d_83,3366.0,,,,
d_84,3939.0,,,,
d_85,4577.0,,,,
d_86,4482.0,,,,
d_87,3336.0,,,,
d_88,3145.0,,,,
d_89,3062.0,,,,
d_90,2930.0,,,,
d_91,3240.0,,,,
d_92,4247.0,,,,
d_93,4569.0,,,,
d_94,4245.0,,,,
d_95,4349.0,,,,
d_96,3822.0,,,,
d_97,3611.0,,,,
d_98,3772.0,,,,
d_99,4455.0,,,,
d_100,4217.0,,,,
d_101,4498.0,,,,
d_102,3993.0,,,,
d_103,3657.0,,,,
d_104,3696.0,,,,
d_105,3934.0,,,,
d_106,4094.0,,,,
d_107,4897.0,,,,
d_108,3806.0,,,,
d_109,3297.0,,,,
d_110,3173.0,,,,
d_111,3172.0,,,,
d_112,3551.0,,,,
d_113,4247.0,,,,
d_114,4475.0,,,,
d_115,3637.0,,,,
d_116,3364.0,,,,
d_117,3429.0,,,,
d_118,3501.0,,,,
d_119,3707.0,,,,
d_120,3920.0,,,,
d_121,3951.0,,,,
d_122,4103.0,,,,
d_123,3569.0,,,,
d_124,4210.0,,,,
d_125,3896.0,,,,
d_126,4681.0,,,,
d_127,5390.0,,,,
d_128,5440.0,,,,
d_129,4502.0,,,,
d_130,4292.0,,,,
d_131,4427.0,,,,
d_132,4008.0,,,,
d_133,4662.0,,,,
d_134,4438.0,,,,
d_135,5380.0,,,,
d_136,4419.0,,,,
d_137,4034.0,,,,
d_138,4133.0,,,,
d_139,3831.0,,,,
d_140,3935.0,,,,
d_141,4537.0,,,,
d_142,4656.0,,,,
d_143,4538.0,,,,
d_144,4255.0,,,,
d_145,4173.0,,,,
d_146,4011.0,,,,
d_147,4247.0,,,,
d_148,4386.0,,,,
d_149,4876.0,,,,
d_150,3891.0,,,,
d_151,3347.0,,,,
d_152,3560.0,,,,
d_153,3712.0,,,,
d_154,5341.0,,,,
d_155,5633.0,,,,
d_156,5170.0,,,,
d_157,4129.0,,,,
d_158,4780.0,,,,
d_159,4939.0,,,,
d_160,4894.0,,,,
d_161,4696.0,,,,
d_162,5419.0,,,,
d_163,5413.0,,,,
d_164,4581.0,,,,
d_165,4002.0,,,,
d_166,3718.0,,,,
d_167,3845.0,,,,
d_168,4043.0,,,,
d_169,4931.0,,,,
d_170,5104.0,,,,
d_171,4060.0,,,,
d_172,3715.0,,,,
d_173,3850.0,,,,
d_174,3879.0,,,,
d_175,4516.0,,,,
d_176,5212.0,,,,
d_177,5023.0,,,,
d_178,3804.0,,,,
d_179,3671.0,,,,
d_180,3548.0,,,,
d_181,3636.0,,,,
d_182,3956.0,,,,
d_183,4923.0,,,,
d_184,4946.0,,,,
d_185,4609.0,,,,
d_186,4684.0,,,,
d_187,4721.0,,,,
d_188,4252.0,,,,
d_189,4320.0,,,,
d_190,4990.0,,,,
d_191,5728.0,,,,
d_192,5012.0,,,,
d_193,5011.0,,,,
d_194,5365.0,,,,
d_195,4019.0,,,,
d_196,4507.0,,,,
d_197,5190.0,,,,
d_198,6062.0,,,,
d_199,5048.0,,,,
d_200,4799.0,,,,
d_201,4061.0,,,,
d_202,4081.0,,,,
d_203,4498.0,,,,
d_204,5444.0,,,,
d_205,5680.0,,,,
d_206,4769.0,,,,
d_207,4244.0,,,,
d_208,4066.0,,,,
d_209,3618.0,,,,
d_210,4172.0,,,,
d_211,4913.0,,,,
d_212,5280.0,,,,
d_213,3969.0,,,,
d_214,3696.0,,,,
d_215,3568.0,,,,
d_216,4490.0,,,,
d_217,5010.0,,,,
d_218,5348.0,,,,
d_219,5356.0,,,,
d_220,5574.0,,,,
d_221,5279.0,,,,
d_222,4744.0,,,,
d_223,4550.0,,,,
d_224,5132.0,,,,
d_225,5718.0,,,,
d_226,6003.0,,,,
d_227,4214.0,,,,
d_228,4199.0,,,,
d_229,4250.0,,,,
d_230,3911.0,,,,
d_231,4335.0,,,,
d_232,4879.0,,,,
d_233,5734.0,,,,
d_234,4641.0,,,,
d_235,4157.0,,,,
d_236,4089.0,,,,
d_237,3861.0,,,,
d_238,4345.0,,,,
d_239,5157.0,,,,
d_240,5866.0,,,,
d_241,4463.0,,,,
d_242,4536.0,,,,
d_243,4220.0,,,,
d_244,3939.0,,,,
d_245,4568.0,,,,
d_246,6660.0,,,,
d_247,6569.0,,,,
d_248,5686.0,,,,
d_249,5310.0,,,,
d_250,4753.0,,,,
d_251,4666.0,,,,
d_252,5161.0,,,,
d_253,6237.0,,,,
d_254,6703.0,,,,
d_255,5687.0,,,,
d_256,4986.0,,,,
d_257,4600.0,,,,
d_258,4501.0,,,,
d_259,5229.0,,,,
d_260,6274.0,,,,
d_261,6370.0,,,,
d_262,5434.0,,,,
d_263,4463.0,,,,
d_264,4105.0,,,,
d_265,4097.0,,,,
d_266,4497.0,,,,
d_267,5939.0,,,,
d_268,6004.0,,,,
d_269,4550.0,,,,
d_270,4239.0,,,,
d_271,3792.0,,,,
d_272,4046.0,,,,
d_273,4208.0,,,,
d_274,5813.0,,,,
d_275,5903.0,,,,
d_276,3883.0,,,,
d_277,4734.0,,,,
d_278,4566.0,,,,
d_279,4999.0,,,,
d_280,5276.0,,,,
d_281,6189.0,,,,
d_282,6628.0,,,,
d_283,5137.0,,,,
d_284,4960.0,,,,
d_285,4883.0,,,,
d_286,5161.0,,,,
d_287,4972.0,,,,
d_288,5570.0,,,,
d_289,6110.0,,,,
d_290,4686.0,,,,
d_291,4380.0,,,,
d_292,4126.0,,,,
d_293,4050.0,,,,
d_294,4881.0,,,,
d_295,6031.0,,,,
d_296,5812.0,,,,
d_297,4780.0,,,,
d_298,4520.0,,,,
d_299,5311.0,,,,
d_300,3130.0,,,,
d_301,3768.0,,,,
d_302,4275.0,,,,
d_303,4747.0,,,,
d_304,3957.0,,,,
d_305,3771.0,,,,
d_306,3614.0,,,,
d_307,4944.0,,,,
d_308,5237.0,,,,
d_309,6284.0,,,,
d_310,6616.0,,,,
d_311,5745.0,,,,
d_312,4937.0,,,,
d_313,4840.0,,,,
d_314,4719.0,,,,
d_315,5039.0,,,,
d_316,6266.0,,,,
d_317,6138.0,,,,
d_318,5216.0,,,,
d_319,4831.0,,,,
d_320,4314.0,,,,
d_321,4906.0,,,,
d_322,4980.0,,,,
d_323,5648.0,,,,
d_324,5573.0,,,,
d_325,4973.0,,,,
d_326,4424.0,,,,
d_327,4347.0,,,,
d_328,4639.0,,,,
d_329,5820.0,,,,
d_330,4753.0,,,,
d_331,1.0,,,,
d_332,4998.0,,,,
d_333,4530.0,,,,
d_334,4745.0,,,,
d_335,4511.0,,,,
d_336,6115.0,,,,
d_337,5535.0,,,,
d_338,3978.0,,,,
d_339,6199.0,,,,
d_340,5371.0,,,,
d_341,4878.0,,,,
d_342,5021.0,,,,
d_343,4696.0,,,,
d_344,6384.0,,,,
d_345,7124.0,,,,
d_346,5679.0,,,,
d_347,5392.0,,,,
d_348,4590.0,,,,
d_349,4163.0,,,,
d_350,5193.0,,,,
d_351,5904.0,,,,
d_352,5993.0,,,,
d_353,5546.0,,,,
d_354,4234.0,,,,
d_355,4538.0,,,,
d_356,4255.0,,,,
d_357,4825.0,,,,
d_358,6786.0,,,,
d_359,5837.0,,,,
d_360,4856.0,,,,
d_361,4732.0,,,,
d_362,4329.0,,,,
d_363,4004.0,,,,
d_364,4654.0,,,,
d_365,5101.0,,,,
d_366,6123.0,,,,
d_367,4875.0,,,,
d_368,5016.0,,,,
d_369,5600.0,,,,
d_370,5160.0,,,,
d_371,6193.0,,,,
d_372,7762.0,,,,
d_373,6911.0,,,,
d_374,5932.0,,,,
d_375,5616.0,,,,
d_376,5498.0,,,,
d_377,5501.0,,,,
d_378,6108.0,,,,
d_379,7794.0,,,,
d_380,7095.0,,,,
d_381,5849.0,,,,
d_382,4383.0,,,,
d_383,4818.0,,,,
d_384,4582.0,,,,
d_385,5317.0,,,,
d_386,6515.0,,,,
d_387,6185.0,,,,
d_388,6662.0,,,,
d_389,5148.0,,,,
d_390,4351.0,,,,
d_391,4703.0,,,,
d_392,5800.0,,,,
d_393,6164.0,,,,
d_394,6784.0,,,,
d_395,5286.0,,,,
d_396,4514.0,,,,
d_397,4424.0,,,,
d_398,5580.0,,,,
d_399,6121.0,,,,
d_400,7392.0,,,,
d_401,8245.0,,,,
d_402,6450.0,,,,
d_403,5952.0,,,,
d_404,5621.0,,,,
d_405,5892.0,,,,
d_406,6139.0,,,,
d_407,7050.0,,,,
d_408,7672.0,,,,
d_409,6361.0,,,,
d_410,5476.0,,,,
d_411,5045.0,,,,
d_412,4964.0,,,,
d_413,5107.0,,,,
d_414,6773.0,,,,
d_415,6983.0,,,,
d_416,5302.0,,,,
d_417,5033.0,,,,
d_418,4909.0,,,,
d_419,4885.0,,,,
d_420,5082.0,,,,
d_421,6117.0,,,,
d_422,7209.0,,,,
d_423,5463.0,,,,
d_424,4239.0,,,,
d_425,4771.0,,,,
d_426,4415.0,,,,
d_427,5549.0,,,,
d_428,6413.0,,,,
d_429,6959.0,,,,
d_430,6008.0,,,,
d_431,6124.0,,,,
d_432,5300.0,,,,
d_433,5677.0,,,,
d_434,6341.0,,,,
d_435,8069.0,,,,
d_436,6992.0,,,,
d_437,6250.0,,,,
d_438,5565.0,,,,
d_439,5225.0,,,,
d_440,4662.0,,,,
d_441,5106.0,,,,
d_442,6165.0,,,,
d_443,5851.0,,,,
d_444,5119.0,,,,
d_445,4775.0,,,,
d_446,4547.0,,,,
d_447,4488.0,,,,
d_448,5065.0,,,,
d_449,6187.0,,,,
d_450,6767.0,,,,
d_451,4991.0,,,,
d_452,4334.0,,,,
d_453,4393.0,,,,
d_454,4141.0,,,,
d_455,4734.0,,,,
d_456,5781.0,,,,
d_457,6283.0,,,,
d_458,4853.0,,,,
d_459,5534.0,,,,
d_460,5282.0,,,,
d_461,5646.0,,,,
d_462,5477.0,,,,
d_463,5889.0,,,,
d_464,6403.0,,,,
d_465,6444.0,,,,
d_466,6187.0,,,,
d_467,5455.0,,,,
d_468,5380.0,,,,
d_469,5521.0,,,,
d_470,6575.0,,,,
d_471,5418.0,,,,
d_472,5483.0,,,,
d_473,5273.0,,,,
d_474,4752.0,,,,
d_475,4772.0,,,,
d_476,5615.0,,,,
d_477,6325.0,,,,
d_478,6471.0,,,,
d_479,5542.0,,,,
d_480,5158.0,,,,
d_481,4788.0,,,,
d_482,4774.0,,,,
d_483,5567.0,,,,
d_484,5647.0,,,,
d_485,5273.0,,,,
d_486,5588.0,,,,
d_487,5033.0,,,,
d_488,5055.0,,,,
d_489,5189.0,,,,
d_490,6874.0,,,,
d_491,7155.0,,,,
d_492,7322.0,,,,
d_493,6243.0,,,,
d_494,6080.0,,,,
d_495,5698.0,,,,
d_496,6014.0,,,,
d_497,6173.0,,,,
d_498,7035.0,,,,
d_499,8064.0,,,,
d_500,7092.0,,,,
d_501,5999.0,,,,
d_502,5454.0,,,,
d_503,5816.0,,,,
d_504,6588.0,,,,
d_505,7331.0,,,,
d_506,6872.0,,,,
d_507,6379.0,,,,
d_508,5838.0,,,,
d_509,5697.0,,,,
d_510,5133.0,,,,
d_511,5896.0,,,,
d_512,6975.0,,,,
d_513,7095.0,,,,
d_514,5574.0,,,,
d_515,5021.0,,,,
d_516,5025.0,,,,
d_517,5244.0,,,,
d_518,5745.0,,,,
d_519,6425.0,,,,
d_520,6924.0,,,,
d_521,6482.0,,,,
d_522,6616.0,,,,
d_523,5978.0,,,,
d_524,5773.0,,,,
d_525,6620.0,,,,
d_526,7254.0,,,,
d_527,7683.0,,,,
d_528,6556.0,,,,
d_529,6267.0,,,,
d_530,5657.0,,,,
d_531,5507.0,,,,
d_532,6008.0,,,,
d_533,6782.0,,,,
d_534,7000.0,,,,
d_535,6062.0,,,,
d_536,5623.0,,,,
d_537,5218.0,,,,
d_538,5487.0,,,,
d_539,5981.0,,,,
d_540,6703.0,,,,
d_541,7293.0,,,,
d_542,5881.0,,,,
d_543,5467.0,,,,
d_544,5202.0,,,,
d_545,5113.0,,,,
d_546,5596.0,,,,
d_547,5939.0,,,,
d_548,6309.0,,,,
d_549,5147.0,,,,
d_550,5486.0,,,,
d_551,5846.0,,,,
d_552,6270.0,,,,
d_553,6917.0,,,,
d_554,7203.0,,,,
d_555,7801.0,,,,
d_556,6565.0,,,,
d_557,5967.0,,,,
d_558,5839.0,,,,
d_559,6475.0,,,,
d_560,6790.0,,,,
d_561,7786.0,,,,
d_562,7964.0,,,,
d_563,6894.0,,,,
d_564,6670.0,,,,
d_565,6051.0,,,,
d_566,6155.0,,,,
d_567,5701.0,,,,
d_568,7203.0,,,,
d_569,7956.0,,,,
d_570,6058.0,,,,
d_571,5511.0,,,,
d_572,5287.0,,,,
d_573,4854.0,,,,
d_574,5748.0,,,,
d_575,6597.0,,,,
d_576,7116.0,,,,
d_577,5585.0,,,,
d_578,5192.0,,,,
d_579,5053.0,,,,
d_580,4948.0,,,,
d_581,5854.0,,,,
d_582,7373.0,,,,
d_583,6801.0,,,,
d_584,7865.0,,,,
d_585,6116.0,,,,
d_586,5556.0,,,,
d_587,5734.0,,,,
d_588,6019.0,,,,
d_589,7159.0,,,,
d_590,8252.0,,,,
d_591,6968.0,,,,
d_592,5922.0,,,,
d_593,5203.0,,,,
d_594,5307.0,,,,
d_595,5715.0,,,,
d_596,6720.0,,,,
d_597,7778.0,,,,
d_598,5638.0,,,,
d_599,5280.0,,,,
d_600,4528.0,,,,
d_601,4977.0,,,,
d_602,5687.0,,,,
d_603,6710.0,,,,
d_604,6884.0,,,,
d_605,5451.0,,,,
d_606,5119.0,,,,
d_607,5064.0,,,,
d_608,5081.0,,,,
d_609,5354.0,,,,
d_610,7020.0,,,,
d_611,7008.0,,,,
d_612,6794.0,,,,
d_613,6658.0,,,,
d_614,6119.0,,,,
d_615,5640.0,,,,
d_616,6184.0,,,,
d_617,7400.0,,,,
d_618,7595.0,,,,
d_619,6591.0,,,,
d_620,5796.0,,,,
d_621,5636.0,,,,
d_622,4674.0,,,,
d_623,5692.0,,,,
d_624,6716.0,,,,
d_625,6939.0,,,,
d_626,5279.0,,,,
d_627,4985.0,,,,
d_628,4800.0,,,,
d_629,4808.0,,,,
d_630,5008.0,,,,
d_631,6431.0,,,,
d_632,6965.0,,,,
d_633,5282.0,,,,
d_634,4456.0,,,,
d_635,4299.0,,,,
d_636,4043.0,,,,
d_637,4567.0,,,,
d_638,5891.0,,,,
d_639,6364.0,,,,
d_640,4807.0,,,,
d_641,4966.0,,,,
d_642,4240.0,,,,
d_643,5062.0,,,,
d_644,5862.0,,,,
d_645,7068.0,,,,
d_646,7385.0,,,,
d_647,5665.0,,,,
d_648,5198.0,,,,
d_649,5165.0,,,,
d_650,5029.0,,,,
d_651,5494.0,,,,
d_652,7100.0,,,,
d_653,6958.0,,,,
d_654,5339.0,,,,
d_655,4588.0,,,,
d_656,4373.0,,,,
d_657,4336.0,,,,
d_658,4985.0,,,,
d_659,6169.0,,,,
d_660,6340.0,,,,
d_661,5149.0,,,,
d_662,5191.0,,,,
d_663,5513.0,,,,
d_664,3568.0,,,,
d_665,3414.0,,,,
d_666,4870.0,,,,
d_667,5278.0,,,,
d_668,4594.0,,,,
d_669,3901.0,,,,
d_670,3937.0,,,,
d_671,3800.0,,,,
d_672,4557.0,,,,
d_673,6741.0,,,,
d_674,6518.0,,,,
d_675,5623.0,,,,
d_676,5023.0,,,,
d_677,4802.0,,,,
d_678,4948.0,,,,
d_679,5297.0,,,,
d_680,6365.0,,,,
d_681,6596.0,,,,
d_682,5630.0,,,,
d_683,5004.0,,,,
d_684,4617.0,,,,
d_685,4712.0,,,,
d_686,4739.0,,,,
d_687,6021.0,,,,
d_688,6110.0,,,,
d_689,5115.0,,,,
d_690,5173.0,,,,
d_691,4495.0,,,,
d_692,4910.0,,,,
d_693,4959.0,,,,
d_694,6147.0,,,,
d_695,5929.0,,,,
d_696,5451.0,,,,
d_697,4.0,,,,
d_698,4987.0,,,,
d_699,4819.0,,,,
d_700,5124.0,,,,
d_701,6197.0,,,,
d_702,5727.0,,,,
d_703,5385.0,,,,
d_704,3580.0,,,,
d_705,5510.0,,,,
d_706,5999.0,,,,
d_707,5828.0,,,,
d_708,6842.0,,,,
d_709,7306.0,,,,
d_710,5716.0,,,,
d_711,5828.0,,,,
d_712,4945.0,,,,
d_713,5307.0,,,,
d_714,5169.0,,,,
d_715,6913.0,,,,
d_716,7073.0,,,,
d_717,5048.0,,,,
d_718,4618.0,,,,
d_719,4922.0,,,,
d_720,4713.0,,,,
d_721,5134.0,,,,
d_722,6535.0,,,,
d_723,6065.0,,,,
d_724,5458.0,,,,
d_725,4816.0,,,,
d_726,4354.0,,,,
d_727,3872.0,,,,
d_728,4937.0,,,,
d_729,6517.0,,,,
d_730,6582.0,,,,
d_731,4716.0,,,,
d_732,4615.0,,,,
d_733,3996.0,,,,
d_734,4376.0,,,,
d_735,5718.0,,,,
d_736,7934.0,,,,
d_737,6098.0,,,,
d_738,5364.0,,,,
d_739,4705.0,,,,
d_740,4765.0,,,,
d_741,5046.0,,,,
d_742,5450.0,,,,
d_743,6153.0,,,,
d_744,5449.0,,,,
d_745,6264.0,,,,
d_746,5705.0,,,,
d_747,5925.0,,,,
d_748,4276.0,,,,
d_749,5196.0,,,,
d_750,6403.0,,,,
d_751,6663.0,,,,
d_752,6040.0,,,,
d_753,4805.0,,,,
d_754,4766.0,,,,
d_755,4856.0,,,,
d_756,5303.0,,,,
d_757,6667.0,,,,
d_758,7109.0,,,,
d_759,5587.0,,,,
d_760,4697.0,,,,
d_761,4653.0,,,,
d_762,5031.0,,,,
d_763,6273.0,,,,
d_764,7938.0,,,,
d_765,7599.0,,,,
d_766,6081.0,,,,
d_767,5578.0,,,,
d_768,5244.0,,,,
d_769,4405.0,,,,
d_770,5728.0,,,,
d_771,6932.0,,,,
d_772,7336.0,,,,
d_773,6095.0,,,,
d_774,5134.0,,,,
d_775,5355.0,,,,
d_776,5259.0,,,,
d_777,5521.0,,,,
d_778,6545.0,,,,
d_779,7107.0,,,,
d_780,5780.0,,,,
d_781,4789.0,,,,
d_782,5112.0,,,,
d_783,4990.0,,,,
d_784,5196.0,,,,
d_785,6256.0,,,,
d_786,6295.0,,,,
d_787,5056.0,,,,
d_788,4907.0,,,,
d_789,4912.0,,,,
d_790,4924.0,,,,
d_791,5651.0,,,,
d_792,7036.0,,,,
d_793,3352.0,,,,
d_794,6219.0,,,,
d_795,6163.0,,,,
d_796,6024.0,,,,
d_797,5419.0,,,,
d_798,6548.0,,,,
d_799,6971.0,,,,
d_800,7769.0,,,,
d_801,5897.0,,,,
d_802,6188.0,,,,
d_803,5896.0,,,,
d_804,5673.0,,,,
d_805,5900.0,,,,
d_806,7137.0,,,,
d_807,6924.0,,,,
d_808,5700.0,,,,
d_809,5748.0,,,,
d_810,5300.0,,,,
d_811,5157.0,,,,
d_812,5685.0,,,,
d_813,6862.0,,,,
d_814,7463.0,,,,
d_815,5712.0,,,,
d_816,5432.0,,,,
d_817,5262.0,,,,
d_818,4906.0,,,,
d_819,5150.0,,,,
d_820,6341.0,,,,
d_821,6994.0,,,,
d_822,4975.0,,,,
d_823,5200.0,,,,
d_824,5876.0,,,,
d_825,5882.0,,,,
d_826,6440.0,,,,
d_827,6672.0,,,,
d_828,7015.0,,,,
d_829,6920.0,,,,
d_830,5839.0,,,,
d_831,5429.0,,,,
d_832,5726.0,,,,
d_833,6021.0,,,,
d_834,7547.0,,,,
d_835,6384.0,,,,
d_836,6371.0,,,,
d_837,6192.0,,,,
d_838,5797.0,,,,
d_839,5245.0,,,,
d_840,5569.0,,,,
d_841,6884.0,,,,
d_842,7554.0,,,,
d_843,6203.0,,,,
d_844,5228.0,,,,
d_845,5128.0,,,,
d_846,5111.0,,,,
d_847,5576.0,,,,
d_848,6126.0,,,,
d_849,6076.0,,,,
d_850,6402.0,,,,
d_851,5443.0,,,,
d_852,4846.0,,,,
d_853,4893.0,,,,
d_854,6012.0,,,,
d_855,7176.0,,,,
d_856,8187.0,,,,
d_857,6893.0,,,,
d_858,6232.0,,,,
d_859,6441.0,,,,
d_860,5885.0,,,,
d_861,6594.0,,,,
d_862,8003.0,,,,
d_863,8736.0,,,,
d_864,7537.0,,,,
d_865,6113.0,,,,
d_866,5851.0,,,,
d_867,5782.0,,,,
d_868,6555.0,,,,
d_869,7244.0,,,,
d_870,6787.0,,,,
d_871,6403.0,,,,
d_872,5802.0,,,,
d_873,5639.0,,,,
d_874,5516.0,,,,
d_875,6308.0,,,,
d_876,7192.0,,,,
d_877,7651.0,,,,
d_878,6080.0,,,,
d_879,5820.0,,,,
d_880,5331.0,,,,
d_881,5589.0,,,,
d_882,6528.0,,,,
d_883,8354.0,,,,
d_884,8163.0,,,,
d_885,7599.0,,,,
d_886,7238.0,,,,
d_887,8136.0,,,,
d_888,7170.0,,,,
d_889,7053.0,,,,
d_890,7123.0,,,,
d_891,8035.0,,,,
d_892,6899.0,,,,
d_893,6717.0,,,,
d_894,6803.0,,,,
d_895,5824.0,,,,
d_896,6412.0,,,,
d_897,7117.0,,,,
d_898,7497.0,,,,
d_899,6096.0,,,,
d_900,5689.0,,,,
d_901,5708.0,,,,
d_902,5808.0,,,,
d_903,5898.0,,,,
d_904,7319.0,,,,
d_905,7857.0,,,,
d_906,5996.0,,,,
d_907,5958.0,,,,
d_908,5497.0,,,,
d_909,5974.0,,,,
d_910,6244.0,,,,
d_911,7509.0,,,,
d_912,7187.0,,,,
d_913,5994.0,,,,
d_914,5437.0,,,,
d_915,6026.0,,,,
d_916,6908.0,,,,
d_917,6880.0,,,,
d_918,7667.0,,,,
d_919,8137.0,,,,
d_920,7259.0,,,,
d_921,6178.0,,,,
d_922,6541.0,,,,
d_923,6419.0,,,,
d_924,6881.0,,,,
d_925,7841.0,,,,
d_926,7667.0,,,,
d_927,6829.0,,,,
d_928,6336.0,,,,
d_929,5641.0,,,,
d_930,5982.0,,,,
d_931,6529.0,,,,
d_932,7359.0,,,,
d_933,8088.0,,,,
d_934,6958.0,,,,
d_935,6227.0,,,,
d_936,5719.0,,,,
d_937,5499.0,,,,
d_938,6546.0,,,,
d_939,7445.0,,,,
d_940,8632.0,,,,
d_941,6409.0,,,,
d_942,6113.0,,,,
d_943,5916.0,,,,
d_944,5869.0,,,,
d_945,6866.0,,,,
d_946,7869.0,,,,
d_947,7718.0,,,,
d_948,8518.0,,,,
d_949,6780.0,,,,
d_950,5879.0,,,,
d_951,6318.0,,,,
d_952,6592.0,,,,
d_953,8176.0,,,,
d_954,9338.0,,,,
d_955,7422.0,,,,
d_956,6992.0,,,,
d_957,6707.0,,,,
d_958,6222.0,,,,
d_959,6712.0,,,,
d_960,7763.0,,,,
d_961,8509.0,,,,
d_962,7340.0,,,,
d_963,6014.0,,,,
d_964,5851.0,,,,
d_965,5794.0,,,,
d_966,6385.0,,,,
d_967,7447.0,,,,
d_968,8219.0,,,,
d_969,6299.0,,,,
d_970,5890.0,,,,
d_971,5665.0,,,,
d_972,5601.0,,,,
d_973,6104.0,,,,
d_974,6919.0,,,,
d_975,7293.0,,,,
d_976,5955.0,,,,
d_977,6153.0,,,,
d_978,5966.0,,,,
d_979,5942.0,,,,
d_980,6741.0,,,,
d_981,8179.0,,,,
d_982,8847.0,,,,
d_983,6858.0,,,,
d_984,6630.0,,,,
d_985,6346.0,,,,
d_986,6543.0,,,,
d_987,6281.0,,,,
d_988,7392.0,,,,
d_989,7866.0,,,,
d_990,6208.0,,,,
d_991,5911.0,,,,
d_992,5722.0,,,,
d_993,5514.0,,,,
d_994,5788.0,,,,
d_995,7226.0,,,,
d_996,7833.0,,,,
d_997,6006.0,,,,
d_998,5307.0,,,,
d_999,5270.0,,,,
d_1000,5348.0,,,,
d_1001,5745.0,,,,
d_1002,7021.0,,,,
d_1003,7485.0,,,,
d_1004,6133.0,,,,
d_1005,5494.0,,,,
d_1006,6158.0,,,,
d_1007,4552.0,,,,
d_1008,6514.0,,,,
d_1009,8155.0,,,,
d_1010,8482.0,,,,
d_1011,6696.0,,,,
